Symptoms ,Description
itching,"Itching is an irritating sensation that makes you want to scratch your skin. Sometimes it can feel like pain, but it is different. Often, you feel itchy in one area in your body, but sometimes you may feel itching all over. Along with the itching, you may also have a rash or hives."
skin_rash,"A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin. Rashes are a symptom of many different medical problems."
nodal_skin_eruptions,"""Nodal skin eruptions are raised, swollen, or tender areas on the skin, often associated with underlying infections, inflammation, or skin conditions, and should be examined by a dermatologist."
dischromic _patches," Dischromic patches are areas of the skin with color variations, typically appearing darker or lighter than the surrounding skin. They can result from various causes, including pigmentation disorders or skin conditions."
continuous_sneezing," Continuous sneezing involves consecutive sneezes in response to allergens, irritants, or infections, often causing nasal discomfort."
shivering,"Shivering is the involuntary trembling or quivering of the body, often due to cold temperatures, fever, anxiety, or chills."
chills,"Chills are a sensation of coldness and shivering, often accompanied by goosebumps, and can be a symptom of various conditions, including infections, fever, or exposure to cold environments."
watering_from_eyes,"Watering from the eyes, also known as epiphora, is excessive tear production that can result from eye irritation, allergies, blocked tear ducts, or infections."
stomach_pain,"Stomach pain is a common symptom characterized by discomfort or distress in the abdominal area. It can be caused by various factors, including indigestion, gastritis, ulcers, infections, or gastrointestinal disorders."
acidity,"Acidity refers to a burning sensation or discomfort in the upper abdomen, often caused by excess stomach acid. It can result in symptoms like heartburn, bloating, or regurgitation."
ulcers_on_tongue,"Ulcers on the tongue are painful sores or lesions that can develop due to various factors, including injuries, stress, or dietary triggers. They typically heal on their own within a week or two."
vomiting,"Vomiting is the forceful expulsion of stomach contents through the mouth, often in response to triggers such as infections, motion sickness, or food poisoning. It serves as a protective reflex to rid the body of irritants or toxins."
cough,"Coughing is a reflex action that helps clear the airways by expelling irritants, mucus, or foreign substances. It can result from various factors, including respiratory infections, allergies, or smoking."
chest_pain,"Chest pain is discomfort or pain in the chest area that can be caused by various conditions, including heart problems, musculoskeletal issues, or lung disorders. Its cause and severity should be evaluated by a healthcare professional.
"
yellowish_skin,"Yellowish skin, or jaundice, is a yellow discoloration of the skin and eyes. It is often due to a buildup of bilirubin in the body and can be a sign of liver or gallbladder issues, or excessive destruction of red blood cells."
nausea,"Nausea is the feeling of discomfort in the stomach, often accompanied by an urge to vomit. It can be caused by various factors such as motion sickness, pregnancy, infections, or digestive problems."
loss_of_appetite," Loss of appetite is a reduced desire to eat. It can be a symptom of various conditions, including infections, emotional stress, depression, or underlying medical issues."
abdominal_pain,"Abdominal pain is discomfort or pain in the area between the chest and pelvis. It can result from multiple causes, including gastrointestinal problems, inflammation, or organ-related issues. The nature and location of the pain help determine the underlying cause."
yellowing_of_eyes,"Yellowing of the eyes, called scleral icterus, is often associated with jaundice and indicates a problem with the liver or bile ducts. It's a sign of excess bilirubin in the bloodstream."
burning_micturition,Burning micturition refers to a painful or burning sensation during urination and is commonly associated with urinary tract infections or irritation of the urinary system.
spotting_ urination,"Spotting during urination can indicate various issues, including urinary tract infections, bladder problems, or in women, gynecological conditions like menstrual irregularities or infections."
passage_of_gases,"The passage of gases, or flatulence, is the release of gas from the digestive system through the rectum. It's a normal bodily function but can be excessive in some cases due to dietary factors or digestive disorders."
internal_itching,"Internal itching can be a vague symptom but may relate to skin conditions, allergies, or irritation within the body, and its underlying cause should be investigated by a healthcare provider."
indigestion," Indigestion, also known as dyspepsia, is a term used to describe discomfort or pain in the upper abdomen often associated with eating. It can be caused by overeating, certain foods, or underlying digestive issues."
muscle_wasting,"Muscle wasting is the gradual loss of muscle mass and strength, which can result from various factors, including aging, inactivity, neurological conditions, or underlying diseases such as muscular dystrophy. It often requires medical evaluation and management."
patches_in_throat,"Patches in the throat may indicate conditions like strep throat or oral thrush, characterized by white or red lesions. These patches can cause discomfort and typically require medical evaluation for diagnosis and appropriate treatment."
high_fever,"High fever is an elevated body temperature often indicative of infections, inflammatory conditions, or other underlying illnesses. It's the body's response to fighting off infections and can be accompanied by various symptoms, requiring medical attention when persistent or severe."
extra_marital_contacts,"This phrase suggests engaging in sexual activity outside of a committed relationship, which can increase the risk of sexually transmitted infections (STIs). Safe sexual practices and regular testing are essential for sexual health."
fatigue,"Fatigue is a persistent feeling of tiredness or exhaustion and can result from various factors, including stress, sleep disorders, medical conditions, or lifestyle. Identifying the underlying cause is important for proper management."
weight_loss," Unintentional weight loss can be a sign of underlying health problems, such as hyperthyroidism, diabetes, or cancer. It should be investigated by a healthcare professional to determine the cause."
restlessness,"Restlessness is a state of unease or agitation and can be associated with anxiety, sleep disorders, or certain medical conditions. Addressing the underlying cause may help alleviate restlessness."
lethargy,"Lethargy is extreme tiredness and a lack of energy, often related to medical conditions like anemia, depression, or infections. Identifying and treating the underlying issue is crucial."
